"","chr.arm","gain","loss","normal"
"1","1",0.0499999999999999,0.9,0.0500000000000002
"10","10",0.0499999999999999,0.9,0.0500000000000002
"11","11",0.0499999999999999,0.9,0.0500000000000002
"12","12",0.0499999999999999,0.9,0.0500000000000002
"13","13",0.0499999999999999,0.9,0.0500000000000002
"14","14",0.18,0.39,0.43
"15","15",0.0499999999999999,0.9,0.0500000000000002
"16","16",0.0499999999999999,0.9,0.0500000000000002
"17","17",0.0499999999999999,0.9,0.0500000000000002
"18","18",0.0499999999999999,0.9,0.0500000000000002
"19","19",0.0499999999999999,0.9,0.0500000000000002
"2","2",0.0499999999999999,0.9,0.0500000000000002
"20","20",0.0499999999999999,0.9,0.0500000000000002
"21","21",0.075,0.875,0.05
"22","22",0.13,0.82,0.05
"3","3",0.0675,0.8825,0.0499999999999999
"4","4",0.0499999999999999,0.9,0.0500000000000002
"5","5",0.1075,0.8425,0.05
"6","6",0.06,0.89,0.0499999999999999
"7","7",0.0499999999999999,0.9,0.0500000000000002
"8","8",0.12,0.83,0.05
"9","9",0.0499999999999999,0.9,0.0500000000000002
