"","chr.arm","gain","loss","normal"
"chr01p","chr01p",0.06,0.66,0.28
"chr01q","chr01q",0.2625,0.6875,0.05
"chr02p","chr02p",0.275,0.675,0.0500000000000002
"chr02q","chr02q",0.135,0.815,0.05
"chr03p","chr03p",0.0499999999999999,0.9,0.0500000000000002
"chr03q","chr03q",0.4225,0.5275,0.0500000000000002
"chr04p","chr04p",0.0499999999999999,0.9,0.0500000000000002
"chr04q","chr04q",0.135,0.595,0.27
"chr05p","chr05p",0.345,0.605,0.05
"chr05q","chr05q",0.0499999999999999,0.9,0.0500000000000002
"chr06p","chr06p",0.125,0.825,0.05
"chr06q","chr06q",0.16,0.79,0.0500000000000002
"chr07p","chr07p",0.24,0.71,0.05
"chr07q","chr07q",0.1775,0.7725,0.05
"chr08p","chr08p",0.135,0.815,0.05
"chr08q","chr08q",0.295,0.655,0.05
"chr09p","chr09p",0.06,0.89,0.0499999999999999
"chr09q","chr09q",0.115,0.835,0.05
"chr10p","chr10p",0.055,0.895,0.05
"chr10q","chr10q",0.0625,0.8875,0.05
"chr11p","chr11p",0.0675,0.8825,0.0499999999999999
"chr11q","chr11q",0.12,0.83,0.05
"chr12p","chr12p",0.2675,0.6825,0.0499999999999999
"chr12q","chr12q",0.155,0.795,0.05
"chr13p","chr13p",0.0499999999999999,0.9,0.0500000000000002
"chr13q","chr13q",0.06,0.89,0.0499999999999999
"chr14p","chr14p",0.0499999999999999,0.9,0.0500000000000002
"chr14q","chr14q",0.15,0.12,0.73
"chr15p","chr15p",0.0499999999999999,0.9,0.0500000000000002
"chr15q","chr15q",0.11,0.84,0.05
"chr16p","chr16p",0.0499999999999999,0.9,0.0500000000000002
"chr16q","chr16q",0.085,0.865,0.05
"chr17p","chr17p",0.0574999999999999,0.8925,0.0500000000000002
"chr17q","chr17q",0.1425,0.8075,0.0500000000000002
"chr18p","chr18p",0.185,0.765,0.05
"chr18q","chr18q",0.1525,0.7975,0.0499999999999999
"chr19p","chr19p",0.0499999999999999,0.9,0.0500000000000002
"chr19q","chr19q",0.13,0.735,0.135
"chr20p","chr20p",0.285,0.665,0.0500000000000002
"chr20q","chr20q",0.325,0.625,0.05
"chr21p","chr21p",0.0499999999999999,0.9,0.0500000000000002
"chr21q","chr21q",0.0499999999999999,0.9,0.0500000000000002
"chr22p","chr22p",0.0499999999999999,0.9,0.0500000000000002
"chr22q","chr22q",0.11,0.84,0.05
