"","chr.arm","gain","loss","normal"
"1","1",0.575,0.065,0.36
"10","10",0.29,0.23,0.48
"11","11",0.41,0.185,0.405
"12","12",0.495,0.15,0.355
"13","13",0.82,0.13,0.05
"14","14",0.46,0.28,0.26
"15","15",0.53,0.235,0.235
"16","16",0.415,0.275,0.31
"17","17",0.55,0.275,0.175
"18","18",0.595,0.19,0.215
"19","19",0.48,0.33,0.19
"2","2",0.51,0.095,0.395
"20","20",0.55,0.05,0.4
"21","21",0.38,0.395,0.225
"22","22",0.575,0.235,0.19
"3","3",0.605,0.09,0.305
"4","4",0.375,0.295,0.33
"5","5",0.725,0.115,0.16
"6","6",0.385,0.15,0.465
"7","7",0.63,0.085,0.285
"8","8",0.62,0.12,0.26
"9","9",0.8825,0.0675,0.0499999999999999
